producto_id,nombre_producto,descripcion,sku,precio,cantidad_disponible,activo,catalogo_id,nombre_catalogo,marca_id,nombre_marca,linea_id,nombre_linea,categorias,proveedor_nombre,proveedor_direccion,proveedor_telefono,proveedor_email
789,Bamboo Toothbrush Holder,Eco-friendly bamboo holder for toothbrushes.,ddb988ae-7064-4a63-a3b1-89ca536f7643,14.99,417,true,92,Automotive92,35,Nivea A Kiss of Flavor Strawberry Tinted Lip Care,26,Oral Care & Hygiene,Health,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
845,Adjustable Yoga Mat Strap,Convenient strap for carrying yoga mats to class.,f2f23374-1961-4a9e-8c78-e5b51b376a82,14.99,420,true,92,Automotive92,31,Cromolyn Sodium,98,Yoga Equipment,Fitness,Vipe,569 Buhler Center,762-822-9901,mbarreaulo@ehow.com
914,Low-Fat Yogurt,"Creamy yogurt with probiotics, available in various flavors.",d71de5c0-1311-466b-b6a5-edb532db4376,3.29,817,false,94,Automotive94,80,Risperidone,26,Yogurt,Food - Dairy,Trunyx,84 Hallows Park,688-197-6759,scoadepd@usa.gov
9,Fishing Tackle Box,Organized tackle box for fishing gear.,72af9668-1a25-4101-a4e9-6c34bd5bf43b,24.99,639,false,95,Automotive95,82,METFORMIN HYDROCHLORIDE,10,Fishing Equipment,Outdoor,Brightbean,84 Hallows Park,688-197-6759,scoadepd@usa.gov
304,Spicy Garlic Edamame,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",d2a618d7-6203-402b-863f-58e2ee90a479,3.99,512,true,95,Automotive95,2,Nighttime Cold and Flu,24,Savory Snacks,Food - Snacks,Brightbean,84 Hallows Park,688-197-6759,scoadepd@usa.gov
428,Pumpkin Spice Coffee,"Coffee blend infused with pumpkin spice, perfect for fall.",ff55683f-f0b3-4f95-ad51-51ba87510207,7.99,958,true,95,Automotive95,15,Anti Diarrheal,52,Coffee,Food - Beverages,Brightbean,84 Hallows Park,688-197-6759,scoadepd@usa.gov
514,Travel Jewelry Case,Portable case to organize and protect jewelry on trips.,e92d986a-132c-40d3-ac55-cd1a42cde655,24.99,847,false,95,Automotive95,45,Dermaheal Skin Delight Mask Pack Plus,79,Jewelry Storage,Accessories,Brightbean,84 Hallows Park,688-197-6759,scoadepd@usa.gov
637,Homemade Salsa,"Fresh salsa made with tomatoes, onions, and cilantro.",7fe87c79-c6c0-4b13-bc3a-d5c6e73f2707,3.79,136,true,95,Automotive95,97,Carbidopa and Levodopa,100,Salsas & Dips,Food - Condiments,Brightbean,84 Hallows Park,688-197-6759,scoadepd@usa.gov
704,Crispy Kale Chips,"Baked kale chips seasoned for a healthy, crunchy snack.",380ada3b-9574-4c28-a63e-b40169e0a450,2.99,789,true,95,Automotive95,17,TRILYTE,48,Healthy Snacks,Food - Snacks,Brightbean,84 Hallows Park,688-197-6759,scoadepd@usa.gov
955,USB Wall Charger,Multiple USB ports for charging devices simultaneously.,f7b6f429-8b9c-4943-9317-4c567e252eca,19.99,29,false,97,Automotive97,2,Valsartan and Hydrochlorothiazide,74,Power Accessories,Accessories,Wordify,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
10,Adjustable Height Standing Desk Converter,Convert your desk to a standing desk easily.,9b43fb90-18a6-4d87-942b-b3ab2fe7c129,89.99,501,true,98,Automotive98,68,Rosanil,27,Furniture,Office,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
40,Professional Chef Knife,High-carbon stainless steel chef knife for precision cutting.,e51a0617-5298-438e-9712-687bdd0a0fb7,89.99,216,false,98,Automotive98,52,AUGMENTIN,54,Cutlery,Kitchen,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
81,Dark Chocolate Raisins,Juicy raisins coated in rich dark chocolate.,43911082-0266-43fc-a801-efc833978515,3.49,212,true,98,Automotive98,89,Levothyroxine Sodium,42,Chocolate Snacks,Food - Snacks,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
221,Oven-Baked Parmesan Zucchini,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying.",a8a74464-d848-44ad-8f4e-e9ba7d9db7c6,4.99,300,false,98,Automotive98,41,Risperidone,44,Frozen Veggie Snacks,Food - Frozen Vegetables,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
237,Digital Wireless Camera,Secure digital wireless security camera system.,6204b261-39f4-41ad-ba65-4ff2efc5eb08,199.99,558,false,98,Automotive98,4,Penicillin V Potassium,87,Cameras,Home Security,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
298,Adjustable Resistance Bands,Set of resistance bands for versatile strength training workouts.,35868981-1218-40f8-be91-8c97e02ff5db,39.99,106,false,98,Automotive98,87,Pecan Pollen,92,Strength Training Equipment,Fitness,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
400,Chia Seed Pudding Mix,Mix to create a delicious chia seed pudding in just a few minutes.,31dd7123-400b-4ade-b6aa-14e123bcfc3c,4.19,788,false,98,Automotive98,61,Trazodone Hydrochloride,71,Healthy Breakfast Options,Food - Breakfast,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
519,Kale Salad Kit,"Ready-to-eat salad with kale, lemon, and cheese.",a954ae16-5683-4e47-9bdc-2d7e7877130a,4.99,829,false,98,Automotive98,93,Patricia Wexler Skin Brightening Daily Moisturizer with Sunscreen Broad Spectrum SPF 28,73,Salad Kits,Food - Salads,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
643,Portable Leaf Blower,Lightweight leaf blower for maintaining outdoor spaces.,2ec36d5d-ebbd-45f7-a785-4bee60c64089,149.99,136,false,98,Automotive98,77,HYDROCHLOROTHIAZIDE,57,Garden Supplies,Outdoor,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
709,Saffron Rice Mix,Flavorful rice mix with saffron and spices.,6a45c323-4cd1-4a47-9e75-e307b9d3ff41,2.99,415,false,98,Automotive98,34,Excedrin,87,Rice Dishes,Food - Grains,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
774,Luminous Night Light,Soft glow night light for children's rooms or bedside.,f39594c6-acc0-4a3e-bde2-d12f9c1e6d13,15.99,90,true,98,Automotive98,28,B-Nexa,83,Lighting & Lamps,Home,Topdrive,9 Huxley Road,875-616-1685,amatysiakqi@businessinsider.com
986,Chocolate Coconut Granola,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",3cc17743-3526-4bd8-aa71-aa7f37c436bb,3.79,22,false,11,Baby11,36,Vichy Laboratoires,31,Granola,Food - Cereals,Ntag,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
22,Silicone Wine Glasses,Durable and shatterproof silicone glasses for outdoor use.,88fad292-30b2-4c54-8e62-8d102719250f,22.99,639,false,12,Baby12,19,Methotrexate Sodium,18,Outdoor Accessories,Outdoor,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
154,Kids' Dinosaur-Themed Lunchbox,Fun lunchbox for kids with a sturdy design.,aed7dda2-e4db-4330-b6c1-34d0ebb43d43,19.99,634,false,12,Baby12,77,Potassium Phosphates,22,Kids' Bags,Accessories,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
271,Smoked Salmon,"Deliciously smoked salmon, great for bagels.",cde8e00a-efb6-4a6a-812f-1f0b0cf76c34,14.99,538,true,12,Baby12,0,Diltiazem Hydrochloride,63,Smoked Seafood,Food - Seafood,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
379,Spicy Vegetable Sushi Rolls,Vegan sushi filled with spicy vegetables and avocado.,5ce0485d-d5be-47ed-8f74-1e68405676c3,8.49,544,true,12,Baby12,52,equaline,5,Vegetarian Meals,Food - Prepared Foods,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
466,Reusable Silicone Food Storage Bags,Eco-friendly bags for storing food without plastic waste.,e58fedc7-7da0-4106-8ff3-55048f7b544b,19.99,128,false,12,Baby12,1,Sulindac,10,Food Storage Solutions,Kitchen,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
492,Adjustable Pet Feeder,Convenient feeder that adjusts to your pet's height.,c1033584-c736-4a27-af35-8ab260b52d94,39.99,625,true,12,Baby12,72,dg health clearlax,27,Pet Feeding Supplies,Pets,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
554,Mediterranean Olives,A mix of brined Mediterranean olives for snacking.,bd9e70f7-27db-4a12-ae56-0e111f3890d4,6.49,834,false,12,Baby12,17,Guanfacine Hydrochloride,71,Olive Products,Food - Condiments,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
614,Salsa Verde,"Tangy green salsa made with tomatillos, perfect for tacos.",bc1fa353-2fe7-4578-8ff6-ca59116b276b,3.49,527,false,12,Baby12,32,Acne Clear,77,Sauces,Food - Condiments,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
617,Backpacking Tent,Lightweight and durable tent for camping trips.,cb2eba13-5c6f-40a5-8b7d-7a9fc283c3b3,109.99,197,false,12,Baby12,62,Xolox,67,Camping Equipment,Outdoor,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
756,Honey mustard chicken tenders,Golden crispy chicken tenders coated with honey mustard flavor.,62f67ba7-604f-4bd9-ae91-8aff1719d99e,7.99,894,true,12,Baby12,42,hydrocortisone,35,Prepared Poultry,Food - Meat,Gabspot,124 Gerald Junction,698-196-8322,fdoersrd@senate.gov
916,Cranberry Citrus Sauce,"A tangy sauce made with cranberries and citrus zest, perfect for turkey and chicken dishes.",512dd680-0c82-4885-9e78-7cdd520f25fd,3.99,712,false,21,Baby21,95,Antacid,4,Fruit Sauces,Food - Condiments,Skidoo,741 Karstens Pass,597-723-3756,fmilbypf@slideshare.net
60,Mashed Sweet Potatoes,Creamy mashed sweet potatoes with a hint of cinnamon.,f8ecea71-8674-4e1d-9a8d-6fc474fb9bd1,3.99,596,false,22,Baby22,86,GERM FREE 24 PLUS,98,Vegetable Sides,Food - Sides,Skalith,741 Karstens Pass,597-723-3756,fmilbypf@slideshare.net
189,Artisan Flatbreads,"Thin and crispy flatbreads, perfect for dips.",8bd6408a-dc5d-437a-b512-1fd1cfcc6737,2.99,277,false,22,Baby22,51,Echinacea Apis Child Size,18,Breads,Food - Bakery,Skalith,741 Karstens Pass,597-723-3756,fmilbypf@slideshare.net
371,Smart Light Bulbs,Color-changing smart LED bulbs compatible with Alexa.,637a160e-4e4b-4a27-b5cf-a2b2d762c44c,34.99,215,false,22,Baby22,14,Bentasil,38,Smart Lighting,Smart Home,Skalith,741 Karstens Pass,597-723-3756,fmilbypf@slideshare.net
571,Honey Sesame Chicken Mix,A meal kit featuring tender chicken with honey sesame sauce.,c1bcf9fd-0056-414b-b7e4-87843cd8ebf9,8.99,325,false,22,Baby22,49,buspirone hydrochloride,61,Frozen Asian Meals,Food - Frozen Meals,Skalith,741 Karstens Pass,597-723-3756,fmilbypf@slideshare.net
902,Compact Portable Grill,Easy-to-use portable grill for barbecues.,d7ef7673-9f49-4e1e-8e74-3938842f79fc,79.99,52,false,45,Baby45,27,"Butalbital, Acetaminophen and Caffeine",31,Camping Equipment,Outdoor,Divanoodle,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
216,Heart-Shaped Baking Molds,Love-themed molds for creating desserts and treats.,0ae628fe-6e1e-40c4-8fbd-7d6b7fdba697,10.99,655,true,46,Baby46,51,ALL FLU,7,Cookware,Kitchen,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
327,Buffalo Stilton Cheese,Spicy blue cheese with a hint of buffalo flavor.,b5c9ccac-1fdb-4b3f-a9cc-f2680d75f92c,8.99,972,true,46,Baby46,86,Terbutaline Sulfate,41,Specialty Cheeses,Food - Cheese,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
382,Coconut Chia Seed Pudding,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",75e10b14-83ff-4df7-8750-b153f8adb42f,2.99,180,true,46,Baby46,55,puristics totallyageless spf 15 daily anti-aging,73,Healthy Snacks,Food - Snacks,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
555,Gardening Kneeler and Seat,Foldable kneeler that doubles as a seat for gardening convenience.,900e6eb1-468e-43d5-b091-7b67c5dcc702,39.99,825,true,46,Baby46,98,Demeclocycline Hydrochloride,58,Garden Tools,Garden,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
591,USB Wall Charger,Multiple USB ports for charging devices simultaneously.,65838707-fe9a-48a6-8b54-2eef30883178,19.99,431,false,46,Baby46,21,AZITHROMYCIN,88,Power Accessories,Accessories,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
663,Whipped Cream Cheese,"Light and fluffy cream cheese, perfect for bagels or cooking.",935107ff-6d38-48b0-9aed-3030b9f6276f,2.99,157,true,46,Baby46,17,Ascorbic Acid,36,Dairy Spreads,Food - Dairy,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
736,Guitar Tuner,Clip-on guitar tuner with LCD display.,f271ef3a-f4e7-4fed-a8ad-202ef972bcf5,19.99,933,true,46,Baby46,31,INVEGA SUSTENNA,81,Accessories,Music,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
764,Smoked Gouda Cheese,Rich and creamy smoked Gouda cheese perfect for snacking.,1f188523-72ec-4531-9216-ecdc172b1b7b,5.49,235,true,46,Baby46,54,Hemorrhoid Cream,15,Cheese,Food - Dairy,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
792,Walnut Halves,Fresh walnut halves for baking or snacking.,68e758f0-a40d-4b7c-a291-589424d4edd3,8.49,175,false,46,Baby46,37,Antiseptic,97,Nut Snacks,Food - Nuts,Oozz,5439 Bowman Parkway,773-897-0948,fdeightonp1@elegantthemes.com
799,Vanilla Ice Cream,"Creamy and rich vanilla ice cream, a classic dessert.",1adc2a86-ab0f-4744-973a-b1c68ea2d9e0,4.99,134,true,79,Baby79,45,CANCIDAS,65,Frozen Desserts,Food - Frozen Foods,Plambee,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
19,Plant Watering Spikes,Automatic watering devices for potted plants.,a65fa8c5-1963-4c88-bdd8-17fb09789b43,12.99,552,true,80,Baby80,1,Telmisartan,48,Garden Supplies,Garden,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
120,Garden Tool Set,Complete set of gardening tools for all your needs.,097fd228-65a3-4df5-805e-1adf215f0c3f,34.99,440,false,80,Baby80,18,SyReflux,73,Garden Tools,Garden,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
312,Teriyaki Tofu Stir-Fry,Tofu stir-fried with fresh vegetables in teriyaki sauce.,9627c019-5e36-4abb-a289-32d3894b593c,7.49,834,true,80,Baby80,47,SeptoSan,77,Vegetarian Meals,Food - Prepared Meals,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
377,Natural Soy Candles,Eco-friendly soy candles with a variety of scents.,fec21442-10d2-41e4-8466-184298acf70e,19.99,473,true,80,Baby80,74,GINGIMED,90,Home Fragrance & Accessories,Home,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
403,Outdoor Folding Table,Lightweight and portable folding table for camping or picnics.,75e63d8f-90b4-4a16-97bc-0b3a8e12fc69,39.99,230,true,80,Baby80,59,Childrens Allergy,98,Outdoor Furniture,Outdoor,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
607,Almond Flour Brownies,Deliciously rich brownies made with almond flour.,3f057065-a576-4871-b68b-afe8fd00d77f,5.99,718,true,80,Baby80,78,Simcor,77,Mixes,Food - Baking,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
641,Breezy Off-The-Shoulder Top,A light and breezy top ideal for warm days.,4769b21a-3ef1-4231-8c35-eb22ff21135d,34.99,249,true,80,Baby80,37,Antibactierial Hand Sanitizer,2,Women's Tops,Clothing - Tops,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
646,Athletic Compression Tights,High-performance compression tights designed for optimal support and comfort.,f1b788ac-75fa-4517-925e-6d1eb1b24b41,39.99,676,true,80,Baby80,41,White Pepper,62,Sports Apparel,Clothing - Activewear,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
655,Gluten-Free Pancake Mix,"Fluffy and delicious pancake mix, perfect for a gluten-free breakfast.",b4ce2e68-c65c-4655-9504-afbdebe77f49,5.99,227,false,80,Baby80,36,Losartan Potassium,63,Baking Mixes,Food - Baking Goods,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
667,Veggie Burger Patties,Delicious veggie burger patties for grilling or frying.,1b6c0ad2-53cd-49d0-b779-84720bbd30af,5.99,686,true,80,Baby80,34,LEADER ADVANCED FORMULA EYE DROPS,26,Plant-Based Proteins,Food - Meat Substitutes,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
679,Portable Charcoal Grill,Compact charcoal grill perfect for tailgating.,c995e714-98cf-4c59-9072-21c9199b3533,89.99,122,false,80,Baby80,8,Mark 3,52,Grilling Accessories,Outdoor,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
899,Educational STEM Kit,Hands-on experience with science and engineering projects.,149c6b7d-11d5-4edf-9a82-e60cdb89b02d,35.99,869,false,80,Baby80,71,Colace,28,STEM Learning Toys,Toys,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
909,Electric Ice Cream Maker,Make delicious ice cream at home with this user-friendly machine.,af2d088a-b5ed-4f8b-a64d-3b7b5d925e26,59.99,65,true,80,Baby80,34,HZ-Chord,10,Cooking Appliances,Kitchen,Jayo,12966 Bayside Circle,790-369-0726,ekeysm6@unicef.org
820,Salt and Pepper Grinder Set,Adjustable grinders for fresh spices at the table.,c1cfa8be-0f7d-4fa6-8164-40d7c2c48cd5,19.99,640,true,2,Beauty2,42,Paromomycin Sulfate,84,Cooking Tools & Utensils,Kitchen,Rhyloo,06556 Steensland Parkway,199-502-6530,ljeffraymr@creativecommons.org
196,Window Bird Feeder,Suction cup bird feeder for close-up bird watching.,5fb72592-685b-45df-80e2-1da328c62f57,19.99,450,true,3,Beauty3,90,Zithromax,85,Outdoor Accessories,Outdoor,Linktype,06556 Steensland Parkway,199-502-6530,ljeffraymr@creativecommons.org
328,Sparkling Blood Orange Soda,A refreshing sparkling beverage with a bold blood orange flavor.,80ecba71-9444-47e1-88b9-9e58c5912c35,1.99,685,false,3,Beauty3,30,Metformin Hydrochloride,12,Sparkling Beverages,Food - Beverages,Linktype,06556 Steensland Parkway,199-502-6530,ljeffraymr@creativecommons.org
495,Herbal Tea Infuser,Infuser for brewing loose-leaf herbal teas easily.,62ded270-bba9-463e-b5bd-df77e0904899,9.99,236,false,3,Beauty3,30,Nivea A Kiss of Smoothness Lip Care,83,Coffee Equipment,Kitchen,Linktype,06556 Steensland Parkway,199-502-6530,ljeffraymr@creativecommons.org
527,Coffee Capsule Dispenser,Organize coffee capsules with this stylish dispenser.,0c5e9c1e-c122-45db-a075-032c6dd4c20c,24.99,869,true,3,Beauty3,91,Speed Stick,12,Coffee Accessories,Kitchen,Linktype,06556 Steensland Parkway,199-502-6530,ljeffraymr@creativecommons.org
595,Plant Watering Spikes,Automatic watering devices for potted plants.,ea37fc30-3cd5-4418-8e84-4501fde9cc63,12.99,974,true,3,Beauty3,82,Miconazole 3 Combination Pack,28,Garden Supplies,Garden,Linktype,06556 Steensland Parkway,199-502-6530,ljeffraymr@creativecommons.org
612,Non-Stick Baking Sheet,Durable baking sheet coated for easy food release.,49e9a009-a2f4-440d-921d-36e2b78f9605,18.99,858,true,3,Beauty3,51,Nasal Decongestant PE,74,Baking Accessories,Kitchen,Linktype,06556 Steensland Parkway,199-502-6530,ljeffraymr@creativecommons.org
628,Pet Grooming Kit,Complete grooming kit for dogs and cats.,5caa6c54-72e1-47a6-8a04-b2caebbf9153,39.99,589,true,3,Beauty3,10,Naloxone Hydrochloride,90,Grooming Supplies,Pets,Linktype,06556 Steensland Parkway,199-502-6530,ljeffraymr@creativecommons.org
944,Collapsible Camping Cup,Space-saving cup that folds flat for easy storage.,bcc9199e-fde0-4d11-a428-72a1c8d347ff,9.99,665,false,15,Beauty15,23,napoleon PERDIS FOUNDATION STICK BROAD SPECTRUM SPF 15 Look 4,44,Camping Equipment,Outdoor,Dabfeed,39 Meadow Vale Road,997-805-4492,bbananeq7@sphinn.com
18,Vegetable Sushi Rolls,Fresh sushi rolls filled with a variety of vegetables.,d8a3b315-c112-46a8-a22b-9537567c9b09,5.99,540,true,16,Beauty16,55,SINGULAIR,73,Healthy Snacks,Food - Prepared Meals,Avavee,39 Meadow Vale Road,997-805-4492,bbananeq7@sphinn.com
89,Potting Soil,Premium potting soil for indoor plants.,4270f18b-8f2c-4209-82db-f9714dbcba97,15.99,55,false,16,Beauty16,90,MBM 5 Large Intestine,13,Garden Supplies,Garden,Avavee,39 Meadow Vale Road,997-805-4492,bbananeq7@sphinn.com
144,Frozen Chicken Nuggets,Crispy chicken nuggets for quick meals.,9cd00dad-8fa6-4521-b792-9abea9c006d9,4.49,416,false,16,Beauty16,40,Atenolol,46,Frozen Meat Products,Food - Frozen Foods,Avavee,39 Meadow Vale Road,997-805-4492,bbananeq7@sphinn.com
